utc_date,total_verifications,invariant_pass_rate,zero_drift_ratio,avg_replay_latency_ms,max_replay_latency_ms,sla_target_ms,sla_status,hsm_quorum_status,worm_seals_verified,merkle_root_anchor,pqc_algorithm,iso_27037_status
2026-08-16,86400,100.00%,1.000000,14.82,28.40,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-08-17,86400,100.00%,1.000000,14.75,27.90,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-08-18,86400,100.00%,1.000000,14.91,29.10,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-08-19,86400,100.00%,1.000000,14.63,26.80,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-08-20,86400,100.00%,1.000000,14.88,28.70,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-08-21,86400,100.00%,1.000000,14.70,27.30,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-08-22,86400,100.00%,1.000000,14.80,28.20,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-08-23,86400,100.00%,1.000000,14.69,27.50,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-08-24,86400,100.00%,1.000000,14.77,28.10,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-08-25,86400,100.00%,1.000000,14.85,28.90,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
