utc_date,total_verifications,invariant_pass_rate,zero_drift_ratio,avg_replay_latency_ms,max_replay_latency_ms,sla_target_ms,sla_status,hsm_quorum_status,worm_seals_verified,merkle_root_anchor,pqc_algorithm,iso_27037_status
2026-08-22,144805,100.00%,0.00%,35.86,42.32,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-08-23,144881,100.00%,0.00%,35.70,41.36,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-08-24,144489,100.00%,0.00%,35.73,42.22,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-08-25,145265,100.00%,0.00%,35.70,41.92,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-08-26,145156,100.00%,0.00%,35.78,40.99,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-08-27,145364,100.00%,0.00%,35.89,42.06,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-08-28,144148,100.00%,0.00%,35.81,41.13,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-08-29,145011,100.00%,0.00%,35.70,40.44,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-08-30,144362,100.00%,0.00%,35.70,42.27,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-08-31,144484,100.00%,0.00%,35.91,40.70,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-09-01,144457,100.00%,0.00%,35.81,40.47,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-09-02,144774,100.00%,0.00%,35.89,41.77,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-09-03,142759,100.00%,0.00%,35.80,40.46,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-09-04,145161,100.00%,0.00%,35.80,41.55,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-09-05,142575,100.00%,0.00%,35.75,42.23,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-09-06,144050,100.00%,0.00%,35.91,41.02,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-09-07,144836,100.00%,0.00%,35.73,40.81,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-09-08,145380,100.00%,0.00%,35.74,40.62,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-09-09,144800,100.00%,0.00%,35.70,40.74,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-09-10,143636,100.00%,0.00%,35.91,40.58,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-09-11,145062,100.00%,0.00%,35.69,41.70,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-09-12,144818,100.00%,0.00%,35.85,42.18,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-09-13,143956,100.00%,0.00%,35.84,41.75,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-09-14,143233,100.00%,0.00%,35.82,40.59,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-09-15,142869,100.00%,0.00%,35.85,41.72,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-09-16,143047,100.00%,0.00%,35.90,40.74,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-09-17,144128,100.00%,0.00%,35.81,41.14,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-09-18,142682,100.00%,0.00%,35.75,42.22,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-09-19,143852,100.00%,0.00%,35.84,41.82,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
2026-09-20,144637,100.00%,0.00%,35.88,41.90,142.00,PASS,10/10 REAL_HSM,14902,0x909ab8f1c3d2e4a5b6c7d8e9f0a1b2c3d4e5f6a7,Dilithium-5 / SPHINCS+,COMPLIANT
